Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
022 Susu dan krim dan produk susu selain mentega atau keju,92.71,92.42,94.37,85.51,84.96,110.66,109.93,112.25,108.11,120.53,102.16,100.57,101.2
"034 Ikan, segar (hidup atau mati), dingin atau beku",87.62,92.77,95.28,95.78,97.19,96.5,98.84,97.53,103.01,108.03,105.07,96.86,98.3
"036 Krustasea, moluska dan invertebrata air, berkulit maupun tidak, segar (hidup atau mati), dingin, beku, kering, asin atau dalam air garam; krustasea, berkulit, dikukus atau direbus, dingin atau tidak , beku, kering, asin atau dalam air garam",93.74,92.37,95.86,101.15,107.32,105.76,110.6,106.65,109.61,107.31,107.98,112.71,104.71
"037 Ikan, krustasea, moluska dan invertebrata air lainnya, diolah atau diawetkan, tidak dirinci",93.15,96.18,101.32,98.58,96.26,101.94,102.52,111.58,111.47,108.07,105.38,106.36,103.34
048 Olahan sereal dan olahan tepung atau pati dari buah atau sayuran,91,92.84,102.72,99.31,95.13,91.75,97.7,93.39,96.79,94.38,95.18,98.28,95.88
"054 Sayuran, segar, dingin, beku atau hanya diawetkan (termasuk sayuran polongan kering); akar, umbi-umbian dan produk nabati lainnya yang dapat dimakan, tidak dirinci, segar atau kering",119.94,106.82,109.32,107.31,92.94,89.69,105.46,110.5,125.68,128.16,124.5,95.54,114.6
"056 Sayuran, akar dan umbi-umbian, diolah atau diawetkan, tidak dirinci",86.29,68.75,89.09,95.58,110.01,103.26,95.83,86.13,108.19,92.07,79.32,106.83,93.49
"057 Buah dan kacang-kacangan (tidak termasuk kacang minyak), segar atau kering",86.13,92.72,95.48,107.63,109.07,117.47,123.83,127.85,138.94,134.45,142.3,124.95,117.21
"058 Buah, diawetkan, dan olahan buah (tidak termasuk jus buah)",125.19,125.68,129.34,133.22,138.29,145.56,147,148.99,143.85,144.33,141.71,138.11,139.22
"061 Gula, molase dan madu",134.65,129.26,113.5,126.3,134.85,139.46,135.45,137.78,147.57,148.73,141.46,133.93,137.56
062 Gula hias,102.83,101.12,102.73,101.48,99.41,103.37,105.44,103.61,105.59,110.41,105.08,101.03,103.56
072 Kakao,114.62,113.86,111.28,104.32,107.93,103.76,100.62,94.45,95.82,97.35,89.45,91.17,101.47
"073 Coklat dan makanan olahan lainnya yang mengandung kakao, tidak dirinci",99.28,87.5,81.3,82.58,89.42,101.01,100.16,85.62,83.47,91.31,81.05,72.12,85.65
074 Teh dan mate,99.71,86.6,90.09,90.31,96.22,94.06,92.25,92.21,104.44,96.75,95.03,94.83,94.32
075 Bumbu-bumbu,89.31,93.92,95.42,108.29,119.49,124.76,111.21,123.11,126.17,131.68,129.66,121.93,114.74
081 Bahan pakan untuk hewan (tidak termasuk sereal tidak digiling),147.51,141.2,148.33,151.92,147.67,150.24,159.68,181.93,152.64,150.48,155.11,198.81,159
091 Margarin dan mentega,119.21,126.18,125.47,137.82,141.25,153.32,147.63,154.84,162.27,165.06,170.58,189.2,153.22
"098 Produk dan olahan yang dapat dimakan, tidak dirinci.",108.32,94.36,93.02,113.37,113.17,116.64,92.25,98.36,92.63,119.61,110.37,116.34,105.93
"111 Minuman non-alkohol, tidak dirinci.",89.08,90.92,88.42,107.56,90.43,84.33,76.77,77.01,79.99,88.39,90.88,90.31,87.61
"122 Tembakau, dipabrikasi (ada atau tidak mengandung pengganti tembakau)",89.71,87.06,77.52,86.67,84.63,87.18,94.3,97.59,94.6,90.66,95.55,94.73,89.91
