Tahun,Bulan,Indeks,Tanggal,Kuartal
2014,Januari,89.03,2014-01-01,Q1
2015,Januari,76.49,2015-01-01,Q1
2016,Januari,62.1,2016-01-01,Q1
2017,Januari,88.43,2017-01-01,Q1
2018,Januari,100,2018-01-01,Q1
2019,Januari,91.4,2019-01-01,Q1
2020,Januari,80.14,2020-01-01,Q1
2021,Januari,82.55,2021-01-01,Q1
2022,Januari,166.84,2022-01-01,Q1
2023,Januari,238.24,2023-01-01,Q1
2014,Februari,87.02,2014-02-01,Q1
2015,Februari,73.94,2015-02-01,Q1
2016,Februari,59.87,2016-02-01,Q1
2017,Februari,84.64,2017-02-01,Q1
2018,Februari,100,2018-02-01,Q1
2019,Februari,90.73,2019-02-01,Q1
2020,Februari,82.09,2020-02-01,Q1
2021,Februari,90.94,2021-02-01,Q1
2022,Februari,180.31,2022-02-01,Q1
2023,Februari,214.94,2023-02-01,Q1
2014,Maret,82.9,2014-03-01,Q1
2015,Maret,73.87,2015-03-01,Q1
2016,Maret,58.25,2016-03-01,Q1
2017,Maret,84.75,2017-03-01,Q1
2018,Maret,100,2018-03-01,Q1
2019,Maret,89.52,2019-03-01,Q1
2020,Maret,78.55,2020-03-01,Q1
2021,Maret,90.48,2021-03-01,Q1
2022,Maret,189.59,2022-03-01,Q1
2023,Maret,176.75,2023-03-01,Q1
2014,April,84.45,2014-04-01,Q2
2015,April,75.93,2015-04-01,Q2
2016,April,59.03,2016-04-01,Q2
2017,April,89.97,2017-04-01,Q2
2018,April,100,2018-04-01,Q2
2019,April,94.05,2019-04-01,Q2
2020,April,81.25,2020-04-01,Q2
2021,April,95.51,2021-04-01,Q2
2022,April,255.67,2022-04-01,Q2
2023,April,177.43,2023-04-01,Q2
2014,Mei,84.09,2014-05-01,Q2
2015,Mei,74.5,2015-05-01,Q2
2016,Mei,60.33,2016-05-01,Q2
2017,Mei,91.06,2017-05-01,Q2
2018,Mei,100,2018-05-01,Q2
2019,Mei,92.71,2019-05-01,Q2
2020,Mei,73.7,2020-05-01,Q2
2021,Mei,106.61,2021-05-01,Q2
2022,Mei,245.04,2022-05-01,Q2
2023,Mei,166.26,2023-05-01,Q2
2014,Juni,77.57,2014-06-01,Q2
2015,Juni,69.3,2015-06-01,Q2
2016,Juni,57.08,2016-06-01,Q2
2017,Juni,80.57,2017-06-01,Q2
2018,Juni,100,2018-06-01,Q2
2019,Juni,89.76,2019-06-01,Q2
2020,Juni,65.71,2020-06-01,Q2
2021,Juni,110.48,2021-06-01,Q2
2022,Juni,235.48,2022-06-01,Q2
2023,Juni,155.52,2023-06-01,Q2
2014,Juli,76.14,2014-07-01,Q3
2015,Juli,64.77,2015-07-01,Q3
2016,Juli,55.46,2016-07-01,Q3
2017,Juli,80.73,2017-07-01,Q3
2018,Juli,100,2018-07-01,Q3
2019,Juli,79.79,2019-07-01,Q3
2020,Juli,62.2,2020-07-01,Q3
2021,Juli,117.29,2021-07-01,Q3
2022,Juli,232.47,2022-07-01,Q3
2023,Juli,126.6,2023-07-01,Q3
2014,Agustus,73.86,2014-08-01,Q3
2015,Agustus,64.74,2015-08-01,Q3
2016,Agustus,56.29,2016-08-01,Q3
2017,Agustus,82.38,2017-08-01,Q3
2018,Agustus,100,2018-08-01,Q3
2019,Agustus,78.86,2019-08-01,Q3
2020,Agustus,60.61,2020-08-01,Q3
2021,Agustus,129.96,2021-08-01,Q3
2022,Agustus,219.88,2022-08-01,Q3
2023,Agustus,121.02,2023-08-01,Q3
2014,September,75.88,2014-09-01,Q3
2015,September,62.9,2015-09-01,Q3
2016,September,60.4,2016-09-01,Q3
2017,September,89.37,2017-09-01,Q3
2018,September,100,2018-09-01,Q3
2019,September,75.92,2019-09-01,Q3
2020,September,61.38,2020-09-01,Q3
2021,September,147.36,2021-09-01,Q3
2022,September,215.6,2022-09-01,Q3
2023,September,120.84,2023-09-01,Q3
2014,Oktober,77.25,2014-10-01,Q4
2015,Oktober,61.98,2015-10-01,Q4
2016,Oktober,67.13,2016-10-01,Q4
2017,Oktober,93.43,2017-10-01,Q4
2018,Oktober,100,2018-10-01,Q4
2019,Oktober,79.95,2019-10-01,Q4
2020,Oktober,65.54,2020-10-01,Q4
2021,Oktober,180.29,2021-10-01,Q4
2022,Oktober,239.62,2022-10-01,Q4
2023,Oktober,130.78,2023-10-01,Q4
2014,November,75.96,2014-11-01,Q4
2015,November,61.94,2015-11-01,Q4
2016,November,76.25,2016-11-01,Q4
2017,November,95.36,2017-11-01,Q4
2018,November,100,2018-11-01,Q4
2019,November,79.11,2019-11-01,Q4
2020,November,69,2020-11-01,Q4
2021,November,217.47,2021-11-01,Q4
2022,November,246.55,2022-11-01,Q4
2023,November,138.75,2023-11-01,Q4
2014,Desember,79.11,2014-12-01,Q4
2015,Desember,63.87,2015-12-01,Q4
2016,Desember,88.72,2016-12-01,Q4
2017,Desember,101.96,2017-12-01,Q4
2018,Desember,100,2018-12-01,Q4
2019,Desember,85.91,2019-12-01,Q4
2020,Desember,75.14,2020-12-01,Q4
2021,Desember,185.23,2021-12-01,Q4
2022,Desember,251.11,2022-12-01,Q4
2023,Desember,148.24,2023-12-01,Q4
